,Age,Fare,Parch,PassengerId,Pclass,Sex,Survived,Embarked_Q,Embarked_S,FamilySize,IsAlone,Has_Cabin,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
0,22.0,0,0,1,3,1,0.0,0,1,2,0,0,0,1,0,0
1,38.0,3,0,2,1,0,1.0,0,0,2,0,1,0,0,1,0
2,26.0,1,0,3,3,0,1.0,0,1,1,1,0,1,0,0,0
3,35.0,3,0,4,1,0,1.0,0,1,2,0,1,0,0,1,0
4,35.0,1,0,5,3,1,0.0,0,1,1,1,0,0,1,0,0
5,28.0,1,0,6,3,1,0.0,1,0,1,1,0,0,1,0,0
6,54.0,3,0,7,1,1,0.0,0,1,1,1,1,0,1,0,0
7,2.0,2,1,8,3,1,0.0,0,1,5,0,0,0,0,0,0
8,27.0,1,2,9,3,0,1.0,0,1,3,0,0,0,0,1,0
9,14.0,2,0,10,2,0,1.0,0,0,2,0,0,0,0,1,0
10,4.0,2,1,11,3,0,1.0,0,1,3,0,1,1,0,0,0
11,58.0,2,0,12,1,0,1.0,0,1,1,1,1,1,0,0,0
12,20.0,1,0,13,3,1,0.0,0,1,1,1,0,0,1,0,0
13,39.0,3,5,14,3,1,0.0,0,1,7,0,0,0,1,0,0
14,14.0,0,0,15,3,0,0.0,0,1,1,1,0,1,0,0,0
15,55.0,2,0,16,2,0,1.0,0,1,1,1,0,0,0,1,0
16,2.0,2,1,17,3,1,0.0,1,0,6,0,0,0,0,0,0
17,28.0,1,0,18,2,1,1.0,0,1,1,1,0,0,1,0,0
18,31.0,2,0,19,3,0,0.0,0,1,2,0,0,0,0,1,0
19,28.0,0,0,20,3,0,1.0,0,0,1,1,0,0,0,1,0
20,35.0,2,0,21,2,1,0.0,0,1,1,1,0,0,1,0,0
21,34.0,1,0,22,2,1,1.0,0,1,1,1,1,0,1,0,0
22,15.0,1,0,23,3,0,1.0,1,0,1,1,0,1,0,0,0
23,28.0,3,0,24,1,1,1.0,0,1,1,1,1,0,1,0,0
24,8.0,2,1,25,3,0,0.0,0,1,5,0,0,1,0,0,0
25,38.0,3,5,26,3,0,1.0,0,1,7,0,0,0,0,1,0
26,28.0,0,0,27,3,1,0.0,0,0,1,1,0,0,1,0,0
27,19.0,3,2,28,1,1,0.0,0,1,6,0,1,0,1,0,0
28,28.0,0,0,29,3,0,1.0,1,0,1,1,0,1,0,0,0
29,28.0,0,0,30,3,1,0.0,0,1,1,1,0,0,1,0,0
30,40.0,2,0,31,1,1,0.0,0,0,1,1,0,0,0,0,1
31,28.0,3,0,32,1,0,1.0,0,0,2,0,1,0,0,1,0
32,28.0,0,0,33,3,0,1.0,1,0,1,1,0,1,0,0,0
33,66.0,1,0,34,2,1,0.0,0,1,1,1,0,0,1,0,0
34,28.0,3,0,35,1,1,0.0,0,0,2,0,0,0,1,0,0
35,42.0,3,0,36,1,1,0.0,0,1,2,0,0,0,1,0,0
36,28.0,0,0,37,3,1,1.0,0,0,1,1,0,0,1,0,0
37,21.0,1,0,38,3,1,0.0,0,1,1,1,0,0,1,0,0
38,18.0,2,0,39,3,0,0.0,0,1,3,0,0,1,0,0,0
39,14.0,1,0,40,3,0,1.0,0,0,2,0,0,1,0,0,0
40,40.0,1,0,41,3,0,0.0,0,1,2,0,0,0,0,1,0
41,27.0,2,0,42,2,0,0.0,0,1,2,0,0,0,0,1,0
42,28.0,0,0,43,3,1,0.0,0,0,1,1,0,0,1,0,0
43,3.0,3,2,44,2,0,1.0,0,0,4,0,0,1,0,0,0
44,19.0,0,0,45,3,0,1.0,1,0,1,1,0,1,0,0,0
45,28.0,1,0,46,3,1,0.0,0,1,1,1,0,0,1,0,0
46,28.0,2,0,47,3,1,0.0,1,0,2,0,0,0,1,0,0
47,28.0,0,0,48,3,0,1.0,1,0,1,1,0,1,0,0,0
48,28.0,2,0,49,3,1,0.0,0,0,3,0,0,0,1,0,0
49,18.0,2,0,50,3,0,0.0,0,1,2,0,0,0,0,1,0
50,7.0,3,1,51,3,1,0.0,0,1,6,0,0,0,0,0,0
51,21.0,0,0,52,3,1,0.0,0,1,1,1,0,0,1,0,0
52,49.0,3,0,53,1,0,1.0,0,0,2,0,1,0,0,1,0
53,29.0,2,0,54,2,0,1.0,0,1,2,0,0,0,0,1,0
54,65.0,3,1,55,1,1,0.0,0,0,2,0,1,0,1,0,0
55,28.0,3,0,56,1,1,1.0,0,1,1,1,1,0,1,0,0
56,21.0,1,0,57,2,0,1.0,0,1,1,1,0,1,0,0,0
57,28.5,0,0,58,3,1,0.0,0,0,1,1,0,0,1,0,0
58,5.0,2,2,59,2,0,1.0,0,1,4,0,0,1,0,0,0
59,11.0,3,2,60,3,1,0.0,0,1,8,0,0,0,0,0,0
60,22.0,0,0,61,3,1,0.0,0,0,1,1,0,0,1,0,0
61,38.0,3,0,62,1,0,1.0,0,1,1,1,1,1,0,0,0
62,45.0,3,0,63,1,1,0.0,0,1,2,0,1,0,1,0,0
63,4.0,2,2,64,3,1,0.0,0,1,6,0,0,0,0,0,0
